Puigdemont comparecerá el 17 de noviembre ante el tribunal que decidirá sobre su entrega;http://www.elmundo.es/espana/2017/11/06/5a004ee6468aeb121c8b458d.html;06/11/2017;Nicolas Maeterlinck;EL MUNDO
Puigdemont denuncia en 'The Guardian' la "brutal ofensiva judicial";http://www.elmundo.es/espana/2017/11/06/5a008d07ca47418b658b45f0.html;06/11/2017;ALBERTO MUÑOZ;EL MUNDO
Junqueras alega que la cárcel vulnera su derecho a participar en las elecciones del 21-D;http://www.elmundo.es/espana/2017/11/06/5a00787ce2704ec54c8b4661.html;06/11/2017;EFE;EL MUNDO
Dante Fachin dimite como líder de Podem tras ser desautorizado por Iglesias;http://www.elmundo.es/cataluna/2017/11/06/5a003332268e3e58718b45a8.html;06/11/2017;CRISTINA RUBIO PUIG;EL MUNDO
Esquerra abre la puerta a Fachin;http://www.elmundo.es/cataluna/2017/11/06/5a00544fe5fdea754f8b471f.html;06/11/2017;DANIEL G. SASTRE;EL MUNDO
La noche de Santi Vila en la cárcel: "Estaba acojonado";http://www.elmundo.es/cronica/2017/11/06/59ff5514e5fdea315d8b45cf.html;06/11/2017;JAVIER NEGRE;EL MUNDO
La Fiscalía investiga presiones a fiscales destinados en Cataluña;http://www.elmundo.es/comunidad-valenciana/2017/11/06/5a00b722468aeb6d4b8b45f6.html;06/11/2017;JUAN NIETO;EL MUNDO
Por qué tantos ciudadanos han sacado la bandera española;http://www.elmundo.es/espana/2017/11/06/59ff8787268e3e29398b45bc.html;06/11/2017;EMILIA LANDALUCE;EL MUNDO
Renuncian a un premio por la actitud de Felipe VI con Cataluña;http://www.elmundo.es/cataluna/2017/11/06/5a005c64e5fdea49418b4715.html;06/11/2017;ANDRÉS NEF;EL MUNDO
Cimarrones: el ADN reconstruye el viaje a América de los esclavos;http://www.elmundo.es/ciencia-y-salud/ciencia/2017/11/06/59fdca0de2704e8e6f8b462f.html;06/11/2017;César Fortes-Lima;EL MUNDO
